2025-07-27T20:00:58.535556 | summarize | 1.870s
2025-07-27T20:01:16.574276 | summarize | 1.020s
2025-07-27T20:47:47.902539 | embedding_q | 0.132s
2025-07-27T20:47:47.929207 | retrieve | 0.158s
2025-07-27T20:47:49.800593 | llm_answer | 2.030s
2025-07-27T20:47:49.875079 | embedding_q | 0.030s
2025-07-27T20:47:49.886274 | retrieve | 0.041s
2025-07-27T20:47:50.726533 | llm_answer | 0.882s
2025-07-27T20:48:07.666016 | embedding_q | 0.042s
2025-07-27T20:48:07.676633 | retrieve | 0.052s
2025-07-27T20:48:08.756041 | llm_answer | 1.132s
2025-07-27T20:49:05.025496 | embedding_q | 0.072s
2025-07-27T20:49:05.039348 | retrieve | 0.086s
2025-07-27T20:49:06.290784 | llm_answer | 1.337s
2025-07-27T21:14:31.311825 | summarize | 1.410s
2025-07-27T21:14:52.969233 | embedding_q | 0.080s
2025-07-27T21:14:52.989552 | retrieve | 0.100s
2025-07-27T21:14:55.145804 | llm_answer | 2.256s
2025-07-27T21:16:52.773615 | pdf_to_markdown | 0.342s
2025-07-27T21:16:52.779342 | load_text | 0.004s
2025-07-27T21:16:55.622660 | insert_to_db | 2.847s
2025-07-27T21:17:12.599558 | embedding_q | 0.021s
2025-07-27T21:17:12.615092 | retrieve | 0.037s
2025-07-27T21:17:15.221458 | llm_answer | 2.643s
2025-07-27T21:17:27.605592 | summarize | 0.854s
2025-07-28T15:52:28.358314 | pdf_to_markdown | 1.178s
2025-07-28T15:52:28.362870 | load_text | 0.003s
2025-07-28T15:52:30.736422 | insert_to_db | 2.376s
2025-07-28T16:02:53.218411 | embedding_q | 0.039s
2025-07-28T16:02:53.241945 | retrieve | 0.063s
2025-07-28T16:03:00.963772 | llm_answer | 7.784s
2025-07-28T16:03:28.331760 | pdf_to_markdown | 0.051s
2025-07-28T16:03:28.338630 | load_text | 0.005s
2025-07-28T16:03:28.595917 | insert_to_db | 0.262s
2025-07-28T16:09:11.764882 | embedding_q | 0.027s
2025-07-28T16:09:11.776387 | retrieve | 0.038s
2025-07-28T16:09:12.578849 | llm_answer | 0.841s
2025-07-28T16:09:27.224141 | pdf_to_markdown | 0.197s
2025-07-28T16:09:27.233172 | load_text | 0.003s
2025-07-28T16:09:29.548024 | insert_to_db | 2.318s
2025-07-28T16:12:22.480153 | embedding_q | 0.025s
2025-07-28T16:12:22.493104 | retrieve | 0.038s
2025-07-28T16:12:23.655983 | llm_answer | 1.201s
2025-07-28T16:12:33.631066 | pdf_to_markdown | 0.258s
2025-07-28T16:12:33.636974 | load_text | 0.004s
2025-07-28T16:12:37.584906 | insert_to_db | 3.952s
2025-07-28T17:36:27.760655 | summarize | 4.659s
2025-07-28T17:36:42.376439 | embedding_q | 0.127s
2025-07-28T17:36:42.413780 | retrieve | 0.164s
2025-07-28T17:36:43.463785 | llm_answer | 1.214s
2025-07-28T17:49:48.426786 | embedding_q | 0.114s
2025-07-28T17:49:48.451627 | retrieve | 0.139s
2025-07-28T17:49:50.857181 | llm_answer | 2.545s
2025-07-28T17:54:26.865423 | embedding_q | 0.027s
2025-07-28T17:54:26.890932 | retrieve | 0.053s
2025-07-28T17:54:31.647698 | llm_answer | 4.809s
2025-07-28T17:55:21.400746 | embedding_q | 0.027s
2025-07-28T17:55:21.422298 | retrieve | 0.048s
2025-07-28T17:55:22.599338 | llm_answer | 1.225s
2025-07-28T17:56:17.340821 | embedding_q | 0.024s
2025-07-28T17:56:17.365037 | retrieve | 0.049s
2025-07-28T17:56:21.502711 | llm_answer | 4.186s
2025-07-28T17:56:50.926654 | embedding_q | 0.025s
2025-07-28T17:56:50.950382 | retrieve | 0.049s
2025-07-28T17:56:57.925578 | llm_answer | 7.024s
2025-07-28T18:21:43.572440 | load_text | 0.007s
2025-07-28T18:21:46.079210 | insert_to_db | 2.514s
2025-07-28T18:26:29.847619 | embedding_q | 0.024s
2025-07-28T18:26:29.876053 | retrieve | 0.053s
2025-07-28T18:26:37.737540 | llm_answer | 7.914s
2025-07-28T18:26:50.817752 | embedding_q | 0.020s
2025-07-28T18:26:50.828736 | retrieve | 0.031s
2025-07-28T18:26:52.504590 | llm_answer | 1.707s
2025-07-28T18:27:06.329179 | embedding_q | 0.025s
2025-07-28T18:27:06.340862 | retrieve | 0.036s
2025-07-28T18:27:08.879325 | llm_answer | 2.575s
2025-07-28T18:27:27.123679 | load_text | 0.008s
2025-07-28T18:27:36.186562 | insert_to_db | 9.071s
2025-07-28T18:27:43.718149 | embedding_q | 0.019s
2025-07-28T18:27:43.729341 | retrieve | 0.030s
2025-07-28T18:27:48.090091 | llm_answer | 4.391s
2025-07-28T18:44:59.622138 | embedding_q | 0.036s
2025-07-28T18:44:59.653506 | retrieve | 0.067s
2025-07-28T18:45:01.128091 | llm_answer | 1.542s
2025-07-28T18:47:11.901147 | pdf_to_markdown | 0.608s
2025-07-28T18:47:11.916156 | load_text | 0.008s
2025-07-28T18:47:17.819369 | insert_to_db | 5.912s
2025-07-28T18:47:30.038195 | embedding_q | 0.024s
2025-07-28T18:47:30.049850 | retrieve | 0.035s
2025-07-28T18:47:35.043957 | llm_answer | 5.030s
2025-07-28T18:48:18.667851 | summarize | 4.183s
2025-07-29T22:19:35.794235 | embedding_q | 0.340s
2025-07-29T22:19:35.857325 | retrieve | 0.404s
2025-07-29T22:19:41.646601 | llm_answer | 6.193s
2025-07-29T22:19:57.729348 | embedding_q | 0.074s
2025-07-29T22:19:57.779588 | retrieve | 0.124s
2025-07-29T22:20:02.349526 | llm_answer | 4.694s
2025-07-29T22:21:32.612459 | embedding_q | 0.341s
2025-07-29T22:21:32.634104 | retrieve | 0.362s
2025-07-29T22:21:39.101811 | llm_answer | 6.830s
2025-07-30T18:05:50.645206 | embedding_q | 0.163s
2025-07-30T18:05:50.689565 | retrieve | 0.207s
2025-07-30T18:08:15.749103 | embedding_q | 0.060s
2025-07-30T18:08:15.790192 | retrieve | 0.102s
2025-07-30T18:35:02.656090 | embedding_q | 0.142s
2025-07-30T18:35:02.695036 | retrieve | 0.181s
2025-07-30T18:35:15.241988 | llm_answer | 12.728s
2025-07-30T18:35:34.136658 | embedding_q | 0.041s
2025-07-30T18:35:34.177116 | retrieve | 0.082s
2025-07-30T18:35:42.709004 | llm_answer | 8.613s
2025-07-30T19:03:40.903283 | embedding_q | 0.402s
2025-07-30T19:03:40.950359 | retrieve | 0.449s
2025-07-30T19:03:53.120011 | llm_answer | 12.619s
2025-07-31T00:18:11.255167 | embedding_q | 0.351s
2025-07-31T00:18:11.300205 | retrieve | 0.395s
2025-07-31T00:18:30.547175 | llm_answer | 19.642s
2025-07-31T00:18:49.967364 | embedding_q | 0.405s
2025-07-31T00:18:50.009546 | retrieve | 0.447s
2025-07-31T00:19:00.384084 | llm_answer | 10.821s
